"","gene_name","gene_id","typeofgene","type_from_gtf","mt"
"1","0610005C13Rik","ENSMUSG00000109644","lncRNA","lncRNA",FALSE
"2","0610006L08Rik","ENSMUSG00000108652","lncRNA","lncRNA",FALSE
"3","0610009B22Rik","ENSMUSG00000007777","protein_coding","protein_coding",FALSE
"4","0610009E02Rik","ENSMUSG00000086714","lncRNA","lncRNA",FALSE
"5","0610009L18Rik","ENSMUSG00000043644","lncRNA","lncRNA",FALSE
"6","0610010F05Rik","ENSMUSG00000042208","protein_coding","protein_coding",FALSE
"7","0610010K14Rik","ENSMUSG00000020831","protein_coding","protein_coding",FALSE
"8","0610012D04Rik","ENSMUSG00000089755","lncRNA","lncRNA",FALSE
"9","0610012G03Rik","ENSMUSG00000107002","protein_coding","protein_coding",FALSE
"10","0610025J13Rik","ENSMUSG00000046683","lncRNA","lncRNA",FALSE
"11","0610030E20Rik","ENSMUSG00000058706","protein_coding","protein_coding",FALSE
"12","0610031O16Rik","ENSMUSG00000099146","lncRNA","lncRNA",FALSE
"13","0610033M10Rik","ENSMUSG00000108236","lncRNA","lncRNA",FALSE
"14","0610038B21Rik","ENSMUSG00000097882","lncRNA","lncRNA",FALSE
"15","0610039K10Rik","ENSMUSG00000058812","lncRNA","lncRNA",FALSE
"16","0610040B10Rik","ENSMUSG00000089889","lncRNA","lncRNA",FALSE
"17","0610040F04Rik","ENSMUSG00000087341","lncRNA","lncRNA",FALSE
"18","0610040J01Rik","ENSMUSG00000060512","protein_coding","protein_coding",FALSE
"19","0610043K17Rik","ENSMUSG00000087361","lncRNA","lncRNA",FALSE
"20","0710001A04Rik","ENSMUSG00000114511","lncRNA","lncRNA",FALSE
"21","1010001B22Rik","ENSMUSG00000097863","lncRNA","lncRNA",FALSE
"22","1100001I12Rik","ENSMUSG00000115547","lncRNA","lncRNA",FALSE
"23","1110002E22Rik","ENSMUSG00000090066","protein_coding","protein_coding",FALSE
"24","1110002J07Rik","ENSMUSG00000097134","lncRNA","lncRNA",FALSE
"25","1110002L01Rik","ENSMUSG00000071456","lncRNA","lncRNA",FALSE
"26","1110002O04Rik","ENSMUSG00000102531","lncRNA","lncRNA",FALSE
"27","1110003F10Rik","ENSMUSG00000106291","TEC","TEC",FALSE
"28","1110004F10Rik","ENSMUSG00000030663","protein_coding","protein_coding",FALSE
"29","1110006O24Rik","ENSMUSG00000107121","lncRNA","lncRNA",FALSE
"30","1110008E08Rik","ENSMUSG00000046119","lncRNA","lncRNA",FALSE
"31","1110008P14Rik","ENSMUSG00000039195","protein_coding","protein_coding",FALSE
"32","1110013H19Rik","ENSMUSG00000116164","lncRNA","lncRNA",FALSE
"33","1110015O18Rik","ENSMUSG00000098659","lncRNA","lncRNA",FALSE
"34","1110017D15Rik","ENSMUSG00000028441","protein_coding","protein_coding",FALSE
"35","1110018N20Rik","ENSMUSG00000085151","lncRNA","lncRNA",FALSE
"36","1110019B22Rik","ENSMUSG00000112289","lncRNA","lncRNA",FALSE
"37","1110019D14Rik","ENSMUSG00000097616","lncRNA","lncRNA",FALSE
"38","1110020A21Rik","ENSMUSG00000097047","lncRNA","lncRNA",FALSE
"39","1110025L11Rik","ENSMUSG00000068073","protein_coding","protein_coding",FALSE
"40","1110025M09Rik","ENSMUSG00000103520","TEC","TEC",FALSE
"41","1110028F11Rik","ENSMUSG00000085972","lncRNA","lncRNA",FALSE
"42","1110028F18Rik","ENSMUSG00000099139","lncRNA","lncRNA",FALSE
"43","1110032A03Rik","ENSMUSG00000037971","protein_coding","protein_coding",FALSE
"44","1110032F04Rik","ENSMUSG00000046999","protein_coding","protein_coding",FALSE
"45","1110035H17Rik","ENSMUSG00000099098","lncRNA","lncRNA",FALSE
"46","1110038B12Rik","ENSMUSG00000092203","lncRNA","lncRNA",FALSE
"47","1110038F14Rik","ENSMUSG00000063236","protein_coding","protein_coding",FALSE
"48","1110046J04Rik","ENSMUSG00000085457","lncRNA","lncRNA",FALSE
"49","1110051M20Rik","ENSMUSG00000040591","protein_coding","protein_coding",FALSE
"50","1110057P08Rik","ENSMUSG00000068067","protein_coding","protein_coding",FALSE
"51","1110059E24Rik","ENSMUSG00000035171","protein_coding","protein_coding",FALSE
"52","1110059G10Rik","ENSMUSG00000032551","protein_coding","protein_coding",FALSE
"53","1110060G06Rik","ENSMUSG00000105036","TEC","TEC",FALSE
"54","1110065P20Rik","ENSMUSG00000078570","protein_coding","protein_coding",FALSE
"55","1190001M18Rik","ENSMUSG00000111857","lncRNA","lncRNA",FALSE
"56","1190005I06Rik","ENSMUSG00000043687","protein_coding","protein_coding",FALSE
"57","1190007I07Rik","ENSMUSG00000063320","protein_coding","protein_coding",FALSE
"58","1190028D05Rik","ENSMUSG00000110013","lncRNA","lncRNA",FALSE
"59","1200007C13Rik","ENSMUSG00000087684","lncRNA","lncRNA",FALSE
"60","1300002E11Rik","ENSMUSG00000097290","lncRNA","lncRNA",FALSE
"61","1300014J16Rik","ENSMUSG00000112545","lncRNA","lncRNA",FALSE
"62","1300017J02Rik","ENSMUSG00000033688","protein_coding","protein_coding",FALSE
"63","1500002C15Rik","ENSMUSG00000096221","lncRNA","lncRNA",FALSE
"64","1500002F19Rik","ENSMUSG00000097595","lncRNA","lncRNA",FALSE
"65","1500004A13Rik","ENSMUSG00000098912","lncRNA","lncRNA",FALSE
"66","1500005C15Rik","ENSMUSG00000104888","TEC","TEC",FALSE
"67","1500009C09Rik","ENSMUSG00000068099","protein_coding","protein_coding",FALSE
"68","1500009L16Rik","ENSMUSG00000087651","protein_coding","protein_coding",FALSE
"69","1500011B03Rik","ENSMUSG00000072694","protein_coding","protein_coding",FALSE
"70","1500012K07Rik","ENSMUSG00000097247","lncRNA","lncRNA",FALSE
"71","1500015A07Rik","ENSMUSG00000098702","lncRNA","lncRNA",FALSE
"72","1500015L24Rik","ENSMUSG00000094732","lncRNA","lncRNA",FALSE
"73","1500026H17Rik","ENSMUSG00000097383","lncRNA","lncRNA",FALSE
"74","1500032F14Rik","ENSMUSG00000117718","lncRNA","lncRNA",FALSE
"75","1500035N22Rik","ENSMUSG00000059631","lncRNA","lncRNA",FALSE
"76","1520401A03Rik","ENSMUSG00000043747","protein_coding","protein_coding",FALSE
"77","1600002D24Rik","ENSMUSG00000117232","lncRNA","lncRNA",FALSE
"78","1600010M07Rik","ENSMUSG00000101585","lncRNA","lncRNA",FALSE
"79","1600012H06Rik","ENSMUSG00000050088","protein_coding","protein_coding",FALSE
"80","1600012P17Rik","ENSMUSG00000047661","lncRNA","lncRNA",FALSE
"81","1600014C10Rik","ENSMUSG00000054676","protein_coding","protein_coding",FALSE
"82","1600014C23Rik","ENSMUSG00000094690","protein_coding","protein_coding",FALSE
"83","1600017P15Rik","ENSMUSG00000102505","TEC","TEC",FALSE
"84","1600019K03Rik","ENSMUSG00000099429","lncRNA","lncRNA",FALSE
"85","1600020E01Rik","ENSMUSG00000097048","lncRNA","lncRNA",FALSE
"86","1600022D10Rik","ENSMUSG00000117315","lncRNA","lncRNA",FALSE
"87","1600023N17Rik","ENSMUSG00000104986","TEC","TEC",FALSE
"88","1600025M17Rik","ENSMUSG00000085114","lncRNA","lncRNA",FALSE
"89","1600027J07Rik","ENSMUSG00000110340","lncRNA","lncRNA",FALSE
"90","1600029O15Rik","ENSMUSG00000057818","transcribed_processed_pseudogene","transcribed_processed_pseudogene",FALSE
"91","1700001C19Rik","ENSMUSG00000047150","protein_coding","protein_coding",FALSE
"92","1700001D01Rik","ENSMUSG00000099419","lncRNA","lncRNA",FALSE
"93","1700001F09Rik","ENSMUSG00000095384","protein_coding","protein_coding",FALSE
"94","1700001G01Rik","ENSMUSG00000087170","lncRNA","lncRNA",FALSE
"95","1700001G11Rik","ENSMUSG00000085984","lncRNA","lncRNA",FALSE
"96","1700001G17Rik","ENSMUSG00000103746","TEC","TEC",FALSE
"97","1700001J03Rik","ENSMUSG00000095040","protein_coding","protein_coding",FALSE
"98","1700001J04Rik","ENSMUSG00000086135","lncRNA","lncRNA",FALSE
"99","1700001J11Rik","ENSMUSG00000101963","transcribed_processed_pseudogene","transcribed_processed_pseudogene",FALSE
"100","1700001K19Rik","ENSMUSG00000056508","protein_coding","protein_coding",FALSE
"101","1700001K23Rik","ENSMUSG00000118314","lncRNA","lncRNA",FALSE
"102","1700001L05Rik","ENSMUSG00000075511","lncRNA","lncRNA",FALSE
"103","1700001L19Rik","ENSMUSG00000021534","protein_coding","protein_coding",FALSE
"104","1700001N15Rik","ENSMUSG00000106210","lncRNA","lncRNA",FALSE
"105","1700001O22Rik","ENSMUSG00000044320","protein_coding","protein_coding",FALSE
"106","1700001P01Rik","ENSMUSG00000018543","protein_coding","protein_coding",FALSE
"107","1700003C15Rik","ENSMUSG00000099391","lncRNA","lncRNA",FALSE
"108","1700003D09Rik","ENSMUSG00000085944","lncRNA","lncRNA",FALSE
"109","1700003E16Rik","ENSMUSG00000030030","protein_coding","protein_coding",FALSE
"110","1700003E24Rik","ENSMUSG00000095110","lncRNA","lncRNA",FALSE
"111","1700003F12Rik","ENSMUSG00000038523","protein_coding","protein_coding",FALSE
"112","1700003G18Rik","ENSMUSG00000087621","lncRNA","lncRNA",FALSE
"113","1700003H04Rik","ENSMUSG00000039174","protein_coding","protein_coding",FALSE
"114","1700003I16Rik","ENSMUSG00000107526","lncRNA","lncRNA",FALSE
"115","1700003I22Rik","ENSMUSG00000100372","lncRNA","lncRNA",FALSE
"116","1700003L19Rik","ENSMUSG00000101565","lncRNA","lncRNA",FALSE
"117","1700003M07Rik","ENSMUSG00000085389","lncRNA","lncRNA",FALSE
"118","1700003N22Rik","ENSMUSG00000102463","processed_pseudogene","processed_pseudogene",FALSE
"119","1700003O11Rik","ENSMUSG00000118311","lncRNA","lncRNA",FALSE
"120","1700003P14Rik","ENSMUSG00000100727","lncRNA","lncRNA",FALSE
"121","1700006A11Rik","ENSMUSG00000027973","protein_coding","protein_coding",FALSE
"122","1700006F04Rik","ENSMUSG00000100274","lncRNA","lncRNA",FALSE
"123","1700006H21Rik","ENSMUSG00000102000","lncRNA","lncRNA",FALSE
"124","1700006J14Rik","ENSMUSG00000034764","lncRNA","lncRNA",FALSE
"125","1700006P03Rik","ENSMUSG00000102738","TEC","TEC",FALSE
"126","1700007E05Rik","ENSMUSG00000101234","transcribed_processed_pseudogene","transcribed_processed_pseudogene",FALSE
"127","1700007F19Rik","ENSMUSG00000100666","lncRNA","lncRNA",FALSE
"128","1700007H22Rik","ENSMUSG00000116556","lncRNA","lncRNA",FALSE
"129","1700007J10Rik","ENSMUSG00000086330","lncRNA","lncRNA",FALSE
"130","1700007K13Rik","ENSMUSG00000026831","protein_coding","protein_coding",FALSE
"131","1700007L15Rik","ENSMUSG00000097318","lncRNA","lncRNA",FALSE
"132","1700007M16Rik","ENSMUSG00000086613","lncRNA","lncRNA",FALSE
"133","1700007P06Rik","ENSMUSG00000089730","lncRNA","lncRNA",FALSE
"134","1700008A23Rik","ENSMUSG00000103452","TEC","TEC",FALSE
"135","1700008B11Rik","ENSMUSG00000104872","lncRNA","lncRNA",FALSE
"136","1700008C04Rik","ENSMUSG00000111986","lncRNA","lncRNA",FALSE
"137","1700008H02Rik","ENSMUSG00000106860","TEC","TEC",FALSE
"138","1700008J07Rik","ENSMUSG00000101225","lncRNA","lncRNA",FALSE
"139","1700008K24Rik","ENSMUSG00000101012","lncRNA","lncRNA",FALSE
"140","1700008N11Rik","ENSMUSG00000109657","lncRNA","lncRNA",FALSE
"141","1700008O03Rik","ENSMUSG00000008028","protein_coding","protein_coding",FALSE
"142","1700008P02Rik","ENSMUSG00000069118","protein_coding","protein_coding",FALSE
"143","1700009C05Rik","ENSMUSG00000101404","lncRNA","lncRNA",FALSE
"144","1700009J07Rik","ENSMUSG00000096573","lncRNA","lncRNA",FALSE
"145","1700009N14Rik","ENSMUSG00000028287","protein_coding","protein_coding",FALSE
"146","1700010B08Rik","ENSMUSG00000057047","protein_coding","protein_coding",FALSE
"147","1700010B13Rik","ENSMUSG00000099958","lncRNA","lncRNA",FALSE
"148","1700010D01Rik","ENSMUSG00000071721","lncRNA","lncRNA",FALSE
"149","1700010G06Rik","ENSMUSG00000115752","lncRNA","lncRNA",FALSE
"150","1700010H22Rik","ENSMUSG00000067101","lncRNA","lncRNA",FALSE
"151","1700010I02Rik","ENSMUSG00000100010","lncRNA","lncRNA",FALSE
"152","1700010I14Rik","ENSMUSG00000023873","protein_coding","protein_coding",FALSE
"153","1700010J16Rik","ENSMUSG00000100314","lncRNA","lncRNA",FALSE
"154","1700010K23Rik","ENSMUSG00000092599","lncRNA","lncRNA",FALSE
"155","1700010K24Rik","ENSMUSG00000085102","lncRNA","lncRNA",FALSE
"156","1700010L04Rik","ENSMUSG00000030636","lncRNA","lncRNA",FALSE
"157","1700010N08Rik","ENSMUSG00000101855","transcribed_processed_pseudogene","transcribed_processed_pseudogene",FALSE
"158","1700011B04Rik","ENSMUSG00000102099","lncRNA","lncRNA",FALSE
"159","1700011C11Rik","ENSMUSG00000108800","lncRNA","lncRNA",FALSE
"160","1700011D18Rik","ENSMUSG00000108791","lncRNA","lncRNA",FALSE
"161","1700011L03Rik","ENSMUSG00000109759","lncRNA","lncRNA",FALSE
"162","1700011L22Rik","ENSMUSG00000031682","protein_coding","protein_coding",FALSE
"163","1700011M02Rik","ENSMUSG00000079476","protein_coding","protein_coding",FALSE
"164","1700012A03Rik","ENSMUSG00000029766","protein_coding","protein_coding",FALSE
"165","1700012B07Rik","ENSMUSG00000020617","protein_coding","protein_coding",FALSE
"166","1700012B09Rik","ENSMUSG00000031927","protein_coding","protein_coding",FALSE
"167","1700012C08Rik","ENSMUSG00000086482","lncRNA","lncRNA",FALSE
"168","1700012C14Rik","ENSMUSG00000085470","lncRNA","lncRNA",FALSE
"169","1700012D14Rik","ENSMUSG00000110424","lncRNA","lncRNA",FALSE
"170","1700012D16Rik","ENSMUSG00000105023","lncRNA","lncRNA",FALSE
"171","1700012E03Rik","ENSMUSG00000101275","lncRNA","lncRNA",FALSE
"172","1700012I11Rik","ENSMUSG00000102069","lncRNA","lncRNA",FALSE
"173","1700012J15Rik","ENSMUSG00000107394","lncRNA","lncRNA",FALSE
"174","1700012J22Rik","ENSMUSG00000103545","TEC","TEC",FALSE
"175","1700012P22Rik","ENSMUSG00000028589","protein_coding","protein_coding",FALSE
"176","1700013A02Rik","ENSMUSG00000106899","TEC","TEC",FALSE
"177","1700013D24Rik","ENSMUSG00000079346","lncRNA","lncRNA",FALSE
"178","1700013F07Rik","ENSMUSG00000027886","protein_coding","protein_coding",FALSE
"179","1700013G24Rik","ENSMUSG00000041399","protein_coding","protein_coding",FALSE
"180","1700013H16Rik","ENSMUSG00000054727","protein_coding","protein_coding",FALSE
"181","1700013M08Rik","ENSMUSG00000106586","lncRNA","lncRNA",FALSE
"182","1700013N06Rik","ENSMUSG00000085801","lncRNA","lncRNA",FALSE
"183","1700014B07Rik","ENSMUSG00000118578","protein_coding","protein_coding",FALSE
"184","1700014D04Rik","ENSMUSG00000051054","protein_coding","protein_coding",FALSE
"185","1700014F14Rik","ENSMUSG00000105903","lncRNA","lncRNA",FALSE
"186","1700014L14Rik","ENSMUSG00000110056","lncRNA","lncRNA",FALSE
"187","1700015C15Rik","ENSMUSG00000113696","lncRNA","lncRNA",FALSE
"188","1700015C17Rik","ENSMUSG00000104908","lncRNA","lncRNA",FALSE
"189","1700015G11Rik","ENSMUSG00000094445","protein_coding","protein_coding",FALSE
"190","1700015H07Rik","ENSMUSG00000115761","lncRNA","lncRNA",FALSE
"191","1700015I17Rik","ENSMUSG00000110335","lncRNA","lncRNA",FALSE
"192","1700015O11Rik","ENSMUSG00000097671","lncRNA","lncRNA",FALSE
"193","1700016A09Rik","ENSMUSG00000102737","TEC","TEC",FALSE
"194","1700016B01Rik","ENSMUSG00000104538","lncRNA","lncRNA",FALSE
"195","1700016B15Rik","ENSMUSG00000108979","TEC","TEC",FALSE
"196","1700016C15Rik","ENSMUSG00000015962","protein_coding","protein_coding",FALSE
"197","1700016D06Rik","ENSMUSG00000031509","protein_coding","protein_coding",FALSE
"198","1700016D08Rik","ENSMUSG00000103481","TEC","TEC",FALSE
"199","1700016F12Rik","ENSMUSG00000104955","lncRNA","lncRNA",FALSE
"200","1700016G22Rik","ENSMUSG00000100625","lncRNA","lncRNA",FALSE
"201","1700016H03Rik","ENSMUSG00000114673","lncRNA","lncRNA",FALSE
"202","1700016H13Rik","ENSMUSG00000029320","protein_coding","protein_coding",FALSE
"203","1700016J18Rik","ENSMUSG00000111103","lncRNA","lncRNA",FALSE
"204","1700016K05Rik","ENSMUSG00000114563","lncRNA","lncRNA",FALSE
"205","1700016K19Rik","ENSMUSG00000053783","protein_coding","protein_coding",FALSE
"206","1700016L21Rik","ENSMUSG00000101483","lncRNA","lncRNA",FALSE
"207","1700016P03Rik","ENSMUSG00000085609","lncRNA","lncRNA",FALSE
"208","1700016P04Rik","ENSMUSG00000101894","lncRNA","lncRNA",FALSE
"209","1700017B05Rik","ENSMUSG00000032300","protein_coding","protein_coding",FALSE
"210","1700017G19Rik","ENSMUSG00000037884","lncRNA","lncRNA",FALSE
"211","1700017I07Rik","ENSMUSG00000098727","lncRNA","lncRNA",FALSE
"212","1700017J07Rik","ENSMUSG00000086348","lncRNA","lncRNA",FALSE
"213","1700017L05Rik","ENSMUSG00000107232","lncRNA","lncRNA",FALSE
"214","1700017M07Rik","ENSMUSG00000105651","lncRNA","lncRNA",FALSE
"215","1700017N19Rik","ENSMUSG00000056912","protein_coding","protein_coding",FALSE
"216","1700018A04Rik","ENSMUSG00000038408","lncRNA","lncRNA",FALSE
"217","1700018A14Rik","ENSMUSG00000103616","TEC","TEC",FALSE
"218","1700018A23Rik","ENSMUSG00000107368","lncRNA","lncRNA",FALSE
"219","1700018B08Rik","ENSMUSG00000031809","protein_coding","protein_coding",FALSE
"220","1700018B24Rik","ENSMUSG00000037910","lncRNA","lncRNA",FALSE
"221","1700018F24Rik","ENSMUSG00000029620","protein_coding","protein_coding",FALSE
"222","1700018G05Rik","ENSMUSG00000109745","protein_coding","protein_coding",FALSE
"223","1700018L02Rik","ENSMUSG00000100075","lncRNA","lncRNA",FALSE
"224","1700018M17Rik","ENSMUSG00000046145","pseudogene","pseudogene",FALSE
"225","1700018P08Rik","ENSMUSG00000110709","lncRNA","lncRNA",FALSE
"226","1700019A02Rik","ENSMUSG00000060715","protein_coding","protein_coding",FALSE
"227","1700019A23Rik","ENSMUSG00000109102","TEC","TEC",FALSE
"228","1700019C18Rik","ENSMUSG00000113770","lncRNA","lncRNA",FALSE
"229","1700019D03Rik","ENSMUSG00000043629","protein_coding","protein_coding",FALSE
"230","1700019E08Rik","ENSMUSG00000086202","lncRNA","lncRNA",FALSE
"231","1700019F05Rik","ENSMUSG00000107027","lncRNA","lncRNA",FALSE
"232","1700019G24Rik","ENSMUSG00000085416","lncRNA","lncRNA",FALSE
"233","1700019J19Rik","ENSMUSG00000111489","lncRNA","lncRNA",FALSE
"234","1700019L13Rik","ENSMUSG00000111639","lncRNA","lncRNA",FALSE
"235","1700019M22Rik","ENSMUSG00000059695","processed_pseudogene","processed_pseudogene",FALSE
"236","1700019N19Rik","ENSMUSG00000026931","protein_coding","protein_coding",FALSE
"237","1700019P21Rik","ENSMUSG00000099808","lncRNA","lncRNA",FALSE
"238","1700020A23Rik","ENSMUSG00000027409","protein_coding","protein_coding",FALSE
"239","1700020D12Rik","ENSMUSG00000113628","lncRNA","lncRNA",FALSE
"240","1700020G03Rik","ENSMUSG00000110052","TEC","TEC",FALSE
"241","1700020G17Rik","ENSMUSG00000101801","lncRNA","lncRNA",FALSE
"242","1700020L13Rik","ENSMUSG00000013928","protein_coding","protein_coding",FALSE
"243","1700020L24Rik","ENSMUSG00000035085","protein_coding","protein_coding",FALSE
"244","1700020M21Rik","ENSMUSG00000100146","lncRNA","lncRNA",FALSE
"245","1700020N01Rik","ENSMUSG00000050844","protein_coding","protein_coding",FALSE
"246","1700020N15Rik","ENSMUSG00000059690","protein_coding","protein_coding",FALSE
"247","1700020N18Rik","ENSMUSG00000100253","lncRNA","lncRNA",FALSE
"248","1700021A07Rik","ENSMUSG00000037535","lncRNA","lncRNA",FALSE
"249","1700021F02Rik","ENSMUSG00000105426","lncRNA","lncRNA",FALSE
"250","1700021F07Rik","ENSMUSG00000027518","protein_coding","protein_coding",FALSE
"251","1700021F13Rik","ENSMUSG00000107053","lncRNA","lncRNA",FALSE
"252","1700021G15Rik","ENSMUSG00000112387","lncRNA","lncRNA",FALSE
"253","1700021J08Rik","ENSMUSG00000086890","lncRNA","lncRNA",FALSE
"254","1700021L23Rik","ENSMUSG00000086955","lncRNA","lncRNA",FALSE
"255","1700021N21Rik","ENSMUSG00000087343","lncRNA","lncRNA",FALSE
"256","1700021P04Rik","ENSMUSG00000096796","lncRNA","lncRNA",FALSE
"257","1700022A21Rik","ENSMUSG00000038165","transcribed_processed_pseudogene","transcribed_processed_pseudogene",FALSE
"258","1700022A22Rik","ENSMUSG00000099751","lncRNA","lncRNA",FALSE
"259","1700022E09Rik","ENSMUSG00000099983","lncRNA","lncRNA",FALSE
"260","1700022H01Rik","ENSMUSG00000112581","lncRNA","lncRNA",FALSE
"261","1700022H16Rik","ENSMUSG00000099360","lncRNA","lncRNA",FALSE
"262","1700022I11Rik","ENSMUSG00000028451","protein_coding","protein_coding",FALSE
"263","1700022N22Rik","ENSMUSG00000097523","lncRNA","lncRNA",FALSE
"264","1700023B13Rik","ENSMUSG00000117050","TEC","TEC",FALSE
"265","1700023C21Rik","ENSMUSG00000087393","lncRNA","lncRNA",FALSE
"266","1700023F02Rik","ENSMUSG00000100000","lncRNA","lncRNA",FALSE
"267","1700023G09Rik","ENSMUSG00000103503","lncRNA","lncRNA",FALSE
"268","1700023H06Rik","ENSMUSG00000089827","lncRNA","lncRNA",FALSE
"269","1700024B05Rik","ENSMUSG00000052334","protein_coding","protein_coding",FALSE
"270","1700024B18Rik","ENSMUSG00000099994","lncRNA","lncRNA",FALSE
"271","1700024G13Rik","ENSMUSG00000072473","protein_coding","protein_coding",FALSE
"272","1700024I08Rik","ENSMUSG00000113825","lncRNA","lncRNA",FALSE
"273","1700024J04Rik","ENSMUSG00000069890","pseudogene","pseudogene",FALSE
"274","1700025A08Rik","ENSMUSG00000106947","TEC","TEC",FALSE
"275","1700025B11Rik","ENSMUSG00000101113","protein_coding","protein_coding",FALSE
"276","1700025C18Rik","ENSMUSG00000078935","protein_coding","protein_coding",FALSE
"277","1700025D23Rik","ENSMUSG00000086760","lncRNA","lncRNA",FALSE
"278","1700025F24Rik","ENSMUSG00000100558","lncRNA","lncRNA",FALSE
"279","1700025G04Rik","ENSMUSG00000032666","protein_coding","protein_coding",FALSE
"280","1700025H01Rik","ENSMUSG00000101888","lncRNA","lncRNA",FALSE
"281","1700025J12Rik","ENSMUSG00000108409","lncRNA","lncRNA",FALSE
"282","1700025K04Rik","ENSMUSG00000112482","lncRNA","lncRNA",FALSE
"283","1700025K24Rik","ENSMUSG00000099747","lncRNA","lncRNA",FALSE
"284","1700025L06Rik","ENSMUSG00000109962","lncRNA","lncRNA",FALSE
"285","1700025M24Rik","ENSMUSG00000100175","lncRNA","lncRNA",FALSE
"286","1700025N21Rik","ENSMUSG00000090200","lncRNA","lncRNA",FALSE
"287","1700025N23Rik","ENSMUSG00000100121","lncRNA","lncRNA",FALSE
"288","1700025O08Rik","ENSMUSG00000028244","lncRNA","lncRNA",FALSE
"289","1700026D11Rik","ENSMUSG00000086379","lncRNA","lncRNA",FALSE
"290","1700026F02Rik","ENSMUSG00000101854","lncRNA","lncRNA",FALSE
"291","1700026J12Rik","ENSMUSG00000073976","lncRNA","lncRNA",FALSE
"292","1700026J14Rik","ENSMUSG00000097716","lncRNA","lncRNA",FALSE
"293","1700026N04Rik","ENSMUSG00000114681","lncRNA","lncRNA",FALSE
"294","1700027A07Rik","ENSMUSG00000084864","lncRNA","lncRNA",FALSE
"295","1700027A15Rik","ENSMUSG00000101968","lncRNA","lncRNA",FALSE
"296","1700027F06Rik","ENSMUSG00000107737","lncRNA","lncRNA",FALSE
"297","1700027F09Rik","ENSMUSG00000100911","lncRNA","lncRNA",FALSE
"298","1700027H10Rik","ENSMUSG00000100799","lncRNA","lncRNA",FALSE
"299","1700027I24Rik","ENSMUSG00000098304","lncRNA","lncRNA",FALSE
"300","1700027J07Rik","ENSMUSG00000111422","lncRNA","lncRNA",FALSE
"301","1700028B04Rik","ENSMUSG00000099417","transcribed_processed_pseudogene","transcribed_processed_pseudogene",FALSE
"302","1700028D13Rik","ENSMUSG00000101683","lncRNA","lncRNA",FALSE
"303","1700028E10Rik","ENSMUSG00000097321","lncRNA","lncRNA",FALSE
"304","1700028I16Rik","ENSMUSG00000056821","lncRNA","lncRNA",FALSE
"305","1700028J19Rik","ENSMUSG00000038782","protein_coding","protein_coding",FALSE
"306","1700028K03Rik","ENSMUSG00000089798","protein_coding","protein_coding",FALSE
"307","1700028M03Rik","ENSMUSG00000101334","lncRNA","lncRNA",FALSE
"308","1700028N14Rik","ENSMUSG00000078635","lncRNA","lncRNA",FALSE
"309","1700028P14Rik","ENSMUSG00000033053","protein_coding","protein_coding",FALSE
"310","1700028P15Rik","ENSMUSG00000086823","lncRNA","lncRNA",FALSE
"311","1700029B22Rik","ENSMUSG00000100759","lncRNA","lncRNA",FALSE
"312","1700029B24Rik","ENSMUSG00000102834","TEC","TEC",FALSE
"313","1700029E06Rik","ENSMUSG00000100557","lncRNA","lncRNA",FALSE
"314","1700029F12Rik","ENSMUSG00000052075","protein_coding","protein_coding",FALSE
"315","1700029H14Rik","ENSMUSG00000031452","protein_coding","protein_coding",FALSE
"316","1700029I15Rik","ENSMUSG00000044916","protein_coding","protein_coding",FALSE
"317","1700029J03Rik","ENSMUSG00000099968","lncRNA","lncRNA",FALSE
"318","1700029J07Rik","ENSMUSG00000071103","protein_coding","protein_coding",FALSE
"319","1700029M03Rik","ENSMUSG00000101189","lncRNA","lncRNA",FALSE
"320","1700029M20Rik","ENSMUSG00000086788","lncRNA","lncRNA",FALSE
"321","1700029N11Rik","ENSMUSG00000098144","lncRNA","lncRNA",FALSE
"322","1700030A11Rik","ENSMUSG00000085333","lncRNA","lncRNA",FALSE
"323","1700030C10Rik","ENSMUSG00000099759","lncRNA","lncRNA",FALSE
"324","1700030C12Rik","ENSMUSG00000086459","lncRNA","lncRNA",FALSE
"325","1700030C14Rik","ENSMUSG00000087148","lncRNA","lncRNA",FALSE
"326","1700030E10Rik","ENSMUSG00000112619","lncRNA","lncRNA",FALSE
"327","1700030F04Rik","ENSMUSG00000099869","lncRNA","lncRNA",FALSE
"328","1700030I03Rik","ENSMUSG00000103387","TEC","TEC",FALSE
"329","1700030J22Rik","ENSMUSG00000031847","protein_coding","protein_coding",FALSE
"330","1700030K09Rik","ENSMUSG00000052794","protein_coding","protein_coding",FALSE
"331","1700030L20Rik","ENSMUSG00000099508","lncRNA","lncRNA",FALSE
"332","1700030L22Rik","ENSMUSG00000113179","lncRNA","lncRNA",FALSE
"333","1700030M09Rik","ENSMUSG00000097424","lncRNA","lncRNA",FALSE
"334","1700030N03Rik","ENSMUSG00000100969","lncRNA","lncRNA",FALSE
"335","1700030N18Rik","ENSMUSG00000106800","TEC","TEC",FALSE
"336","1700030O20Rik","ENSMUSG00000100198","lncRNA","lncRNA",FALSE
"337","1700031A10Rik","ENSMUSG00000092239","lncRNA","lncRNA",FALSE
"338","1700031F05Rik","ENSMUSG00000032894","protein_coding","protein_coding",FALSE
"339","1700031F10Rik","ENSMUSG00000047046","lncRNA","lncRNA",FALSE
"340","1700031L13Rik","ENSMUSG00000099863","protein_coding","protein_coding",FALSE
